,Participant,"eyes+eyebrows, mouth+chin","eyes+eyebrows, none","eyes+eyebrows, nose+cheeks","forehead, eyes+eyebrows","forehead, nose+cheeks","mouth+chin, eyes+eyebrows","mouth+chin, forehead","mouth+chin, nose+cheeks","nose+cheeks, eyes+eyebrows","nose+cheeks, mouth+chin","mouth+chin, none","nose+cheeks, none","nose+cheeks, forehead","eyes+eyebrows, forehead","mouth+chin, neck","none, none","forehead, none",Most common pattern,Most common consistency,General consistency
0,201655115,1,1,3,1,1,20,2,10,11,2,0,0,0,0,0,0,0,"mouth+chin, eyes+eyebrows",0.384615384615,5.49398066336
1,203525019,1,1,0,0,0,16,0,7,27,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.519230769231,7.40329815214
2,203669437,1,0,0,0,0,1,0,23,0,4,23,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.442307692308,7.57025914546
3,203783675,1,1,3,0,0,8,0,8,29,2,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.557692307692,7.18044730706
4,204146120,0,1,0,0,0,2,0,32,10,4,0,3,0,0,0,0,0,"mouth+chin, nose+cheeks",0.615384615385,7.88567204044
5,204150163,2,0,6,0,0,7,0,7,26,2,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.52,6.47563306013
6,204537237,0,0,0,0,0,0,0,17,0,11,20,3,1,0,0,0,0,"mouth+chin, none",0.384615384615,6.42719406346
7,204572101,2,8,8,0,0,7,0,3,24,0,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.461538461538,6.15904404347
8,204617047,16,1,3,0,0,9,0,3,19,0,0,0,0,1,0,0,0,"nose+cheeks, eyes+eyebrows",0.365384615385,5.91048420431
9,204629794,0,35,0,1,0,11,0,0,5,0,0,0,0,0,0,0,0,"eyes+eyebrows, none",0.673076923077,8.70682626044
10,204792808,1,3,3,0,0,12,0,6,25,1,0,1,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.480769230769,6.45630107178
11,205414832,0,0,2,0,0,21,0,13,14,2,0,0,0,0,0,0,0,"mouth+chin, eyes+eyebrows",0.403846153846,6.3979546364
12,205880982,1,0,1,0,0,9,0,24,11,6,0,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.461538461538,6.40771593701
13,206193369,0,0,0,0,0,16,1,14,5,2,8,0,2,2,1,0,0,"mouth+chin, eyes+eyebrows",0.313725490196,5.01248441394
14,301596185,3,10,7,0,0,4,0,1,19,6,0,1,0,1,0,0,0,"nose+cheeks, eyes+eyebrows",0.365384615385,5.09252624239
15,30309488,0,0,0,0,0,7,0,16,23,0,0,5,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.450980392157,6.64266512779
16,304949118,0,0,5,0,0,0,1,8,15,23,0,0,0,0,0,0,0,"nose+cheeks, mouth+chin",0.442307692308,6.54284521668
17,305278335,7,0,12,0,0,12,0,3,17,1,0,0,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.326923076923,5.45974573853
18,305391427,6,0,21,1,0,0,0,2,17,5,0,0,0,0,0,0,0,"eyes+eyebrows, nose+cheeks",0.403846153846,6.3094233912
19,305470940,0,14,4,0,0,15,0,1,15,0,0,1,0,1,0,0,0,"mouth+chin, eyes+eyebrows",0.294117647059,5.65685424949
20,308503671,0,0,1,0,0,2,0,27,4,14,1,0,0,0,0,1,0,"mouth+chin, nose+cheeks",0.54,7.07522604087
21,311170625,0,0,1,0,0,1,0,23,2,8,16,1,0,0,0,0,0,"mouth+chin, nose+cheeks",0.442307692308,6.59991087284
22,311356315,1,0,4,1,0,1,0,12,6,27,0,0,0,0,0,0,0,"nose+cheeks, mouth+chin",0.519230769231,6.93244715302
23,312420185,0,0,3,0,0,1,0,18,24,5,0,1,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.461538461538,6.9684161421
24,312769367,0,0,0,0,0,8,0,34,4,1,5,0,0,0,0,0,0,"mouth+chin, nose+cheeks",0.653846153846,8.30263955194
25,314717430,1,0,1,0,0,14,0,12,20,3,0,0,0,0,0,0,1,"nose+cheeks, eyes+eyebrows",0.384615384615,6.08759587435
26,315823492,1,4,3,0,0,4,0,11,26,1,0,1,0,1,0,0,0,"nose+cheeks, eyes+eyebrows",0.5,6.53328581415
27,326851821,0,6,8,0,0,5,0,5,27,0,0,1,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.519230769231,6.71258694762
28,3705441,2,0,4,0,1,0,0,8,2,28,1,6,0,0,0,0,0,"nose+cheeks, mouth+chin",0.538461538462,6.85082648513
29,38208633,0,1,9,0,0,3,0,9,28,1,0,1,0,0,0,0,0,"nose+cheeks, eyes+eyebrows",0.538461538462,7.0663868794
